propertyCode,size,rooms,bathrooms,municipality,latitude,longitude,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew
33889053,75.0,2,1,Alcântara,38.7011391,-9.1915645,0,0,0,0,0,0,0,1,0,0,1,0,0
32028741,75.0,2,1,Carnide,38.7572439,-9.1852024,0,1,0,1,1,0,0,0,1,0,1,0,0
33878795,40.0,1,1,Alcântara,38.7010978,-9.191953,0,0,0,0,0,0,0,1,0,0,1,0,0
33888927,30.0,1,1,Santa Maria Maior,38.7152645,-9.1351068,0,0,0,0,0,0,0,1,0,0,1,0,0
33888955,40.0,1,1,Santa Maria Maior,38.711055,-9.1299397,0,0,0,0,0,0,0,1,0,0,1,0,0
33888919,150.0,4,2,Santa Maria Maior,38.7095978,-9.1309711,0,1,0,0,0,0,0,1,0,0,1,0,0
33887413,55.0,1,1,Misericórdia,38.7149448,-9.1493019,0,1,0,0,0,0,0,1,0,0,1,0,0
33888859,118.0,2,1,Avenidas Novas,38.7481791,-9.1547844,0,1,0,1,1,0,0,1,0,0,1,0,0
33888890,69.0,1,1,São Vicente,38.717664,-9.1291924,0,1,0,1,1,0,0,1,0,0,1,0,0
33888278,55.0,1,1,Avenidas Novas,38.7359226,-9.1485409,0,1,0,1,1,0,0,1,0,0,1,0,0
33888720,130.0,3,2,Arroios,38.7259833,-9.1408751,0,1,0,0,0,0,0,1,0,0,1,0,0
33888498,90.0,2,1,Alcântara,38.7063481,-9.1848506,0,0,0,0,0,0,0,1,0,0,1,0,0
33888190,60.0,1,1,Avenidas Novas,38.739201,-9.1472156,0,1,0,0,0,0,0,1,0,0,1,0,0
33888132,121.0,2,3,Areeiro,38.7424586,-9.1405492,0,0,0,0,0,0,0,1,0,0,1,0,0
33887761,70.0,2,1,Campolide,38.7258489,-9.1701987,0,1,0,0,0,0,0,1,0,0,1,0,0
33888019,120.0,1,1,Lumiar,38.7643509,-9.1559165,0,0,0,0,0,0,0,1,0,0,1,0,0
33887863,135.0,3,3,Alvalade,38.7454342,-9.1413969,0,0,0,0,0,0,0,1,0,0,1,0,0
33887827,85.0,2,1,Santo António,38.725774,-9.1447763,0,1,0,0,0,0,0,1,0,0,1,0,0
33887718,81.0,2,2,Santo António,38.7175877,-9.1457507,0,1,0,1,1,0,0,1,0,0,1,0,0
33887338,115.0,1,1,Alvalade,38.7554046,-9.1648881,0,1,0,1,1,0,0,1,0,0,1,0,0
33882535,40.0,1,1,Santo António,38.7172194,-9.1464782,0,0,0,0,0,0,0,1,0,0,1,0,0
